{'name': 'outside', 'temp': 16.125, 'time': '00:06:51'},
{'name': 'inside', 'temp': 20.625, 'time': '00:06:51'},
{'name': 'inside_floor', 'temp': 17.937, 'time': '00:06:51'},
{'name': 'outside', 'temp': 16.0, 'time': '00:16:56'},
{'name': 'inside', 'temp': 20.5, 'time': '00:16:56'},
{'name': 'inside_floor', 'temp': 17.937, 'time': '00:16:56'},
{'name': 'outside', 'temp': 16.0, 'time': '00:27:01'},
{'name': 'inside', 'temp': 20.625, 'time': '00:27:01'},
{'name': 'inside_floor', 'temp': 18.0, 'time': '00:27:01'},
{'name': 'outside', 'temp': 15.875, 'time': '00:37:05'},
{'name': 'inside', 'temp': 20.625, 'time': '00:37:05'},
{'name': 'inside_floor', 'temp': 18.062, 'time': '00:37:05'},
{'name': 'outside', 'temp': 15.875, 'time': '00:47:10'},
{'name': 'inside', 'temp': 20.562, 'time': '00:47:10'},
{'name': 'inside_floor', 'temp': 18.0, 'time': '00:47:10'},
{'name': 'outside', 'temp': 15.812, 'time': '00:57:15'},
{'name': 'inside', 'temp': 20.562, 'time': '00:57:15'},
{'name': 'inside_floor', 'temp': 18.0, 'time': '00:57:15'},
{'name': 'outside', 'temp': 15.75, 'time': '01:07:19'},
{'name': 'inside', 'temp': 20.687, 'time': '01:07:19'},
{'name': 'inside_floor', 'temp': 18.062, 'time': '01:07:19'},
{'name': 'outside', 'temp': 15.687, 'time': '01:17:24'},
{'name': 'inside', 'temp': 20.687, 'time': '01:17:24'},
{'name': 'inside_floor', 'temp': 18.062, 'time': '01:17:24'},
{'name': 'outside', 'temp': 15.625, 'time': '01:27:29'},
{'name': 'inside', 'temp': 20.75, 'time': '01:27:29'},
{'name': 'inside_floor', 'temp': 18.062, 'time': '01:27:29'},
{'name': 'outside', 'temp': 15.562, 'time': '01:37:34'},
{'name': 'inside', 'temp': 20.75, 'time': '01:37:34'},
{'name': 'inside_floor', 'temp': 18.062, 'time': '01:37:34'},
{'name': 'outside', 'temp': 15.562, 'time': '01:47:38'},
{'name': 'inside', 'temp': 20.75, 'time': '01:47:38'},
{'name': 'inside_floor', 'temp': 18.062, 'time': '01:47:38'},
{'name': 'outside', 'temp': 15.437, 'time': '01:57:43'},
{'name': 'inside', 'temp': 20.625, 'time': '01:57:43'},
{'name': 'inside_floor', 'temp': 18.062, 'time': '01:57:43'},
{'name': 'outside', 'temp': 15.375, 'time': '02:07:48'},
{'name': 'inside', 'temp': 20.625, 'time': '02:07:48'},
{'name': 'inside_floor', 'temp': 18.062, 'time': '02:07:48'},
{'name': 'outside', 'temp': 15.187, 'time': '02:17:52'},
{'name': 'inside', 'temp': 20.687, 'time': '02:17:52'},
{'name': 'inside_floor', 'temp': 18.062, 'time': '02:17:52'},
{'name': 'outside', 'temp': 15.125, 'time': '02:27:57'},
{'name': 'inside', 'temp': 20.687, 'time': '02:27:57'},
{'name': 'inside_floor', 'temp': 18.0, 'time': '02:27:57'},
{'name': 'outside', 'temp': 15.125, 'time': '02:38:02'},
{'name': 'inside', 'temp': 20.562, 'time': '02:38:02'},
{'name': 'inside_floor', 'temp': 18.0, 'time': '02:38:02'},
{'name': 'outside', 'temp': 15.062, 'time': '02:48:07'},
{'name': 'inside', 'temp': 20.562, 'time': '02:48:07'},
{'name': 'inside_floor', 'temp': 18.0, 'time': '02:48:07'},
{'name': 'outside', 'temp': 15.062, 'time': '02:58:11'},
{'name': 'inside', 'temp': 20.562, 'time': '02:58:11'},
{'name': 'inside_floor', 'temp': 18.0, 'time': '02:58:11'},
{'name': 'outside', 'temp': 15.0, 'time': '03:08:16'},
{'name': 'inside', 'temp': 20.75, 'time': '03:08:16'},
{'name': 'inside_floor', 'temp': 18.0, 'time': '03:08:16'},
{'name': 'outside', 'temp': 15.0, 'time': '03:18:21'},
{'name': 'inside', 'temp': 21.187, 'time': '03:18:21'},
{'name': 'inside_floor', 'temp': 18.0, 'time': '03:18:21'},
{'name': 'outside', 'temp': 15.0, 'time': '03:28:26'},
{'name': 'inside', 'temp': 21.125, 'time': '03:28:26'},
{'name': 'inside_floor', 'temp': 17.937, 'time': '03:28:26'},
{'name': 'outside', 'temp': 14.937, 'time': '03:38:31'},
{'name': 'inside', 'temp': 20.75, 'time': '03:38:31'},
{'name': 'inside_floor', 'temp': 18.0, 'time': '03:38:31'},
{'name': 'outside', 'temp': 14.75, 'time': '03:48:36'},
{'name': 'inside', 'temp': 20.5, 'time': '03:48:36'},
{'name': 'inside_floor', 'temp': 18.0, 'time': '03:48:36'},
{'name': 'outside', 'temp': 14.75, 'time': '03:58:40'},
{'name': 'inside', 'temp': 20.375, 'time': '03:58:40'},
{'name': 'inside_floor', 'temp': 17.937, 'time': '03:58:40'},
{'name': 'outside', 'temp': 14.812, 'time': '04:08:45'},
{'name': 'inside', 'temp': 20.437, 'time': '04:08:45'},
{'name': 'inside_floor', 'temp': 17.937, 'time': '04:08:45'},
{'name': 'outside', 'temp': 14.812, 'time': '04:18:50'},
{'name': 'inside', 'temp': 20.312, 'time': '04:18:50'},
{'name': 'inside_floor', 'temp': 17.937, 'time': '04:18:50'},
{'name': 'outside', 'temp': 14.812, 'time': '04:28:55'},
{'name': 'inside', 'temp': 20.25, 'time': '04:28:55'},
{'name': 'inside_floor', 'temp': 17.875, 'time': '04:28:55'},
{'name': 'outside', 'temp': 14.812, 'time': '04:39:00'},
{'name': 'inside', 'temp': 20.187, 'time': '04:39:00'},
{'name': 'inside_floor', 'temp': 17.875, 'time': '04:39:00'},
{'name': 'outside', 'temp': 14.875, 'time': '04:49:04'},
{'name': 'inside', 'temp': 20.062, 'time': '04:49:04'},
{'name': 'inside_floor', 'temp': 17.812, 'time': '04:49:04'},
{'name': 'outside', 'temp': 14.812, 'time': '04:59:09'},
{'name': 'inside', 'temp': 20.062, 'time': '04:59:09'},
{'name': 'inside_floor', 'temp': 17.937, 'time': '04:59:09'},
{'name': 'outside', 'temp': 14.812, 'time': '05:09:14'},
{'name': 'inside', 'temp': 19.937, 'time': '05:09:14'},
{'name': 'inside_floor', 'temp': 17.812, 'time': '05:09:14'},
{'name': 'outside', 'temp': 15.0, 'time': '05:19:19'},
{'name': 'inside', 'temp': 20.0, 'time': '05:19:19'},
{'name': 'inside_floor', 'temp': 17.812, 'time': '05:19:19'},
{'name': 'outside', 'temp': 14.937, 'time': '05:29:24'},
{'name': 'inside', 'temp': 19.937, 'time': '05:29:24'},
{'name': 'inside_floor', 'temp': 17.75, 'time': '05:29:24'}
