{'name': 'outside', 'temp': 17.625, 'time': '00:07:33'},
{'name': 'inside', 'temp': 20.75, 'time': '00:07:33'},
{'name': 'inside_floor', 'temp': 19.25, 'time': '00:07:33'},
{'name': 'outside', 'temp': 17.5, 'time': '00:17:38'},
{'name': 'inside', 'temp': 20.812, 'time': '00:17:38'},
{'name': 'inside_floor', 'temp': 19.25, 'time': '00:17:38'},
{'name': 'outside', 'temp': 17.437, 'time': '00:27:43'},
{'name': 'inside', 'temp': 20.875, 'time': '00:27:43'},
{'name': 'inside_floor', 'temp': 19.187, 'time': '00:27:43'},
{'name': 'outside', 'temp': 17.375, 'time': '00:37:48'},
{'name': 'inside', 'temp': 21.125, 'time': '00:37:48'},
{'name': 'inside_floor', 'temp': 19.187, 'time': '00:37:48'},
{'name': 'outside', 'temp': 17.375, 'time': '00:47:52'},
{'name': 'inside', 'temp': 21.125, 'time': '00:47:52'},
{'name': 'inside_floor', 'temp': 19.187, 'time': '00:47:52'},
{'name': 'outside', 'temp': 17.125, 'time': '00:57:57'},
{'name': 'inside', 'temp': 21.25, 'time': '00:57:57'},
{'name': 'inside_floor', 'temp': 19.125, 'time': '00:57:57'},
{'name': 'outside', 'temp': 17.125, 'time': '01:08:02'},
{'name': 'inside', 'temp': 21.25, 'time': '01:08:02'},
{'name': 'inside_floor', 'temp': 19.187, 'time': '01:08:02'},
{'name': 'outside', 'temp': 17.125, 'time': '01:18:07'},
{'name': 'inside', 'temp': 21.25, 'time': '01:18:07'},
{'name': 'inside_floor', 'temp': 19.125, 'time': '01:18:07'},
{'name': 'outside', 'temp': 17.25, 'time': '01:28:12'},
{'name': 'inside', 'temp': 21.375, 'time': '01:28:12'},
{'name': 'inside_floor', 'temp': 19.062, 'time': '01:28:12'},
{'name': 'outside', 'temp': 17.187, 'time': '01:38:17'},
{'name': 'inside', 'temp': 21.375, 'time': '01:38:17'},
{'name': 'inside_floor', 'temp': 19.062, 'time': '01:38:17'},
{'name': 'outside', 'temp': 17.0, 'time': '01:48:22'},
{'name': 'inside', 'temp': 21.437, 'time': '01:48:22'},
{'name': 'inside_floor', 'temp': 19.062, 'time': '01:48:22'},
{'name': 'outside', 'temp': 16.937, 'time': '01:58:27'},
{'name': 'inside', 'temp': 21.5, 'time': '01:58:27'},
{'name': 'inside_floor', 'temp': 19.125, 'time': '01:58:27'},
{'name': 'outside', 'temp': 17.0, 'time': '02:08:32'},
{'name': 'inside', 'temp': 21.375, 'time': '02:08:32'},
{'name': 'inside_floor', 'temp': 19.062, 'time': '02:08:32'},
{'name': 'outside', 'temp': 16.937, 'time': '02:18:36'},
{'name': 'inside', 'temp': 21.375, 'time': '02:18:36'},
{'name': 'inside_floor', 'temp': 19.062, 'time': '02:18:36'},
{'name': 'outside', 'temp': 16.937, 'time': '02:28:41'},
{'name': 'inside', 'temp': 21.312, 'time': '02:28:41'},
{'name': 'inside_floor', 'temp': 19.0, 'time': '02:28:41'},
{'name': 'outside', 'temp': 16.812, 'time': '02:38:46'},
{'name': 'inside', 'temp': 21.25, 'time': '02:38:46'},
{'name': 'inside_floor', 'temp': 19.062, 'time': '02:38:46'},
{'name': 'outside', 'temp': 16.937, 'time': '02:48:51'},
{'name': 'inside', 'temp': 21.312, 'time': '02:48:51'},
{'name': 'inside_floor', 'temp': 19.0, 'time': '02:48:51'},
{'name': 'outside', 'temp': 17.0, 'time': '02:58:57'},
{'name': 'inside', 'temp': 21.312, 'time': '02:58:57'},
{'name': 'inside_floor', 'temp': 19.0, 'time': '02:58:57'},
{'name': 'outside', 'temp': 17.0, 'time': '03:09:02'},
{'name': 'inside', 'temp': 21.312, 'time': '03:09:02'},
{'name': 'inside_floor', 'temp': 18.937, 'time': '03:09:02'},
{'name': 'outside', 'temp': 17.25, 'time': '03:19:07'},
{'name': 'inside', 'temp': 21.125, 'time': '03:19:07'},
{'name': 'inside_floor', 'temp': 19.0, 'time': '03:19:07'},
{'name': 'outside', 'temp': 17.625, 'time': '03:29:12'},
{'name': 'inside', 'temp': 21.187, 'time': '03:29:12'},
{'name': 'inside_floor', 'temp': 19.0, 'time': '03:29:12'},
{'name': 'outside', 'temp': 17.875, 'time': '03:39:16'},
{'name': 'inside', 'temp': 21.25, 'time': '03:39:16'},
{'name': 'inside_floor', 'temp': 19.0, 'time': '03:39:16'},
{'name': 'outside', 'temp': 18.187, 'time': '03:49:22'},
{'name': 'inside', 'temp': 21.25, 'time': '03:49:22'},
{'name': 'inside_floor', 'temp': 19.0, 'time': '03:49:22'},
{'name': 'outside', 'temp': 18.187, 'time': '03:59:27'},
{'name': 'inside', 'temp': 21.187, 'time': '03:59:27'},
{'name': 'inside_floor', 'temp': 18.937, 'time': '03:59:27'},
{'name': 'outside', 'temp': 17.937, 'time': '04:09:32'},
{'name': 'inside', 'temp': 21.25, 'time': '04:09:32'},
{'name': 'inside_floor', 'temp': 18.937, 'time': '04:09:32'},
{'name': 'outside', 'temp': 17.75, 'time': '04:19:36'},
{'name': 'inside', 'temp': 21.312, 'time': '04:19:36'},
{'name': 'inside_floor', 'temp': 19.0, 'time': '04:19:36'},
{'name': 'outside', 'temp': 17.687, 'time': '04:29:41'},
{'name': 'inside', 'temp': 21.625, 'time': '04:29:41'},
{'name': 'inside_floor', 'temp': 19.0, 'time': '04:29:41'},
{'name': 'outside', 'temp': 17.687, 'time': '04:39:46'},
{'name': 'inside', 'temp': 21.562, 'time': '04:39:46'},
{'name': 'inside_floor', 'temp': 18.937, 'time': '04:39:46'},
{'name': 'outside', 'temp': 17.687, 'time': '04:49:51'},
{'name': 'inside', 'temp': 21.562, 'time': '04:49:51'},
{'name': 'inside_floor', 'temp': 18.937, 'time': '04:49:51'},
{'name': 'outside', 'temp': 17.937, 'time': '04:59:56'},
{'name': 'inside', 'temp': 21.562, 'time': '04:59:56'},
{'name': 'inside_floor', 'temp': 18.875, 'time': '04:59:56'},
{'name': 'outside', 'temp': 17.937, 'time': '05:10:01'},
{'name': 'inside', 'temp': 21.5, 'time': '05:10:01'},
{'name': 'inside_floor', 'temp': 18.937, 'time': '05:10:01'},
{'name': 'outside', 'temp': 18.0, 'time': '05:20:07'},
{'name': 'inside', 'temp': 21.5, 'time': '05:20:07'},
{'name': 'inside_floor', 'temp': 18.875, 'time': '05:20:07'},
{'name': 'outside', 'temp': 18.125, 'time': '05:30:12'},
{'name': 'inside', 'temp': 21.562, 'time': '05:30:12'},
{'name': 'inside_floor', 'temp': 18.875, 'time': '05:30:12'},
{'name': 'outside', 'temp': 18.375, 'time': '05:40:16'},
{'name': 'inside', 'temp': 21.375, 'time': '05:40:16'},
{'name': 'inside_floor', 'temp': 18.875, 'time': '05:40:16'},
{'name': 'outside', 'temp': 18.5, 'time': '05:50:22'},
{'name': 'inside', 'temp': 21.312, 'time': '05:50:22'},
{'name': 'inside_floor', 'temp': 18.937, 'time': '05:50:22'},
{'name': 'outside', 'temp': 18.562, 'time': '06:00:27'},
